id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,agreement,claster,stamp
13,スマホの便利な所,"私としては、やはりPCとの親和性に便利さを感じます。
メールやネットのブックマークは勿論、パスワードなどまで共有できて、とても良いです。
スマホの便利な所として、どんな機能がありますか？
みなさんの意見を聞かせてください。",,0,39,false,false,false,2015-06-15 10:03:16,2015-12-01 12:22:04,5,,,,false,1,
33,,"直感的な操作が可能である点が挙げられると思います。
ガラケーにはないメリットです。",13,0,30,false,false,false,2015-06-15 11:36:14,2015-11-18 14:28:48,5,,,,false,,
38,,そういえばガラケー時代は、下の方にあるボタンを押すために、下ボタンを連打していましたね。,33,53,1,false,false,false,2015-06-15 11:45:19,2015-11-18 14:28:48,5,,,,false,,
70,,よく車を運転するので、mapが便利だと感じています。他は、どこでも映画など動画コンテンツを高画質で見れることです。,13,56,33,false,false,false,2015-06-15 13:42:59,2015-11-18 14:28:48,5,,,,false,,
72,,"最近はスマホをカーナビ代わりにする人が多いですよね。
動画も見れるし、音楽も聴けるので、スマホの機能がカーナビの機能を包括してしまっているように思えます。",70,59,1,false,false,false,2015-06-15 13:46:05,2015-11-18 14:28:48,5,,,,false,,
78,,"最近ではPCを使わずにスマホだけですべて完結させちゃう人も増えてきているらしいので驚きです。レポートをスマホで書いてスマホで提出したりとか聞きます... それぐらい便利なアイテムなんでしょうね。

僕は電子書籍が好きです。わからない単語の意味をすぐに辞書で引けるので重宝します。
",13,54,28,false,false,false,2015-06-15 14:10:20,2015-11-18 14:28:48,5,,,,false,,
81,,スマートフォンの便利な点は、各種多様なアプリが使用できる点と、pcと同じ様にインターネット閲覧ができる点だと思います。,13,66,41,false,false,false,2015-06-15 14:41:30,2015-11-18 14:28:48,5,,,,false,,
83,,そうですね。動画とかも観れてはかどりますね。,81,50,1,false,false,false,2015-06-15 19:49:36,2015-11-18 14:28:48,5,,,,false,,
91,,既に挙げられてる方もいらっしゃいますが、直感的な操作感はやっぱり便利だなぁと思います。画像やwebページを閲覧する際なんかの拡大・縮小やスクロールのストレスがないのがいいですよね。それまでのPCやガラケーと差別化されてる部分だと思います。,13,53,35,false,false,false,2015-06-15 20:09:51,2015-11-18 14:28:48,5,,,,false,,
94,,"また、ここ最近でスマホの利便性をさらに高めたのは、音声認識機能の追加及び性能の向上だと考えます。
それまでの検索方法から、より簡易に、より迅速になることで使用頻度もあがったと思います。
情報社会と呼ばれる現代に対して、まさに必要とされるツールであったからこそ、ここまでの普及が実現したのでしょう。",13,60,41,false,false,false,2015-06-15 20:23:47,2015-11-18 14:28:47,5,,,,false,,
