id,sent,user_id,parent_id,created_at
67,もっとスマホの良いところや悪いところを話しあいましょう！例えば良いところ・みんな使っている・色んなアプリがあるなどなど悪いところ・電池の保ち・スマホや色んな意見をお聞かせください&話し合いましょう,6,,2015-06-15 13:27:37
90,これらで友達同士の会話が容易になったり、外との交流を持ちやすくなった気がします,13,67,2015-06-15 20:06:11
90,いいところといえば、twitterといった他者とのコミュニケーションを主としたアプリが使いやすいことですね,13,67,2015-06-15 20:06:11
111,例えば，大学生などは板書を写真にテストの時に用いたりする人もいるようです,5,90,2015-06-15 21:09:29
111,悪用される事件が増えてきているのは確かに問題ですね,5,90,2015-06-15 21:09:29
130,スマホに夢中になりすぎて、移動時間すら惜しんでゲームをしている人をよく見かけます,1,67,2015-06-15 22:33:26
153,SNSといったコミュニケーションアプリが普及したお陰で情報の循環がしやすくなった感はありますね自分もTwitterがあるお陰で情報を仕入れやすくなりましたw最近では企業でもTwitterを導入し情報の提供をしたりして上手いことやってたりもしてますさらにLINEが生まれたことで連絡のしやすさもまた上がってますしスマホのいいところは指折り数え切れないほどあると言っていいでしょう,11,67,2015-06-16 13:27:40
154,個人的には公式アカウントがお気に入りです,1,153,2015-06-16 13:37:36
154,Twitterを使って宣伝しているのはよく見かけますね,1,153,2015-06-16 13:37:36
165,スマホのヘビーユーザに画面が大きい方がメリットが多いのかもしれませんが，片手で操作しにくかったり，持ち運ぶ際に邪魔だったりでデメリットも多いような気がします,9,67,2015-06-16 17:35:50
231,例えば，訪れたことのない店に行く場合などはついmapに頼ってしまってスマートフォンをずっと見てしまっていると状態になりがちです,2,130,2015-11-24 16:07:05
